"components/662cb3a70dcb90001103ce95/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb4205f555c001145e893/title/","Questão 3"
"components/662cb4205f555c001145e893/displayTitle/","Questão 3"
"components/662cb4205f555c001145e893/body/","<p>O que é a Internet das Coisas (IoT)?</p>"
"components/662cb4205f555c001145e893/_items/0/text/","Integrar objetos do dia a dia com a tecnologia para que se conectem à Internet"
"components/662cb4205f555c001145e893/_items/1/text/","Um conceito onde apenas os computadores e smartphones se conectam à Internet"
"components/662cb4205f555c001145e893/_items/2/text/","Uma rede composta apenas de dispositivos domésticos inteligentes"
"components/662cb4205f555c001145e893/_items/3/text/","Limitar a conectividade à Internet a dispositivos tradicionais"
"components/662cb4205f555c001145e893/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cb4205f555c001145e893/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb4205f555c001145e893/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb49a387a3d0011473a85/title/","Questão 4"
"components/662cb49a387a3d0011473a85/displayTitle/","Questão 4"
"components/662cb49a387a3d0011473a85/body/","<p>Qual seria um exemplo de uso prático da IoT?</p>"
"components/662cb49a387a3d0011473a85/_items/0/text/","Um termostato que ativa o aquecimento quando você está chegando em casa"
"components/662cb49a387a3d0011473a85/_items/1/text/","Uma máquina de escrever com uma impressora embutida"
"components/662cb49a387a3d0011473a85/_items/2/text/","Um termostato tradicional com ajustes manuais"
"components/662cb49a387a3d0011473a85/_items/3/text/","Uma câmera de segurança com um microfone à parte"
"components/662cb49a387a3d0011473a85/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cb49a387a3d0011473a85/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb49a387a3d0011473a85/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb5260dcb90001103ce96/title/","Questão 5"
"components/662cb5260dcb90001103ce96/displayTitle/","Questão 5"
"components/662cb5260dcb90001103ce96/body/","<p>Como as plataformas de banco digitais mudaram as práticas de banco tradicionais?</p>"
"components/662cb5260dcb90001103ce96/_items/0/text/","Elas permitem que você faça a gestão de suas contas e transações online"
"components/662cb5260dcb90001103ce96/_items/1/text/","Elas eliminaram a necessidade de agências bancárias físicas"
"components/662cb5260dcb90001103ce96/_items/2/text/","Elas tornaram as práticas de banco mais demoradas"
"components/662cb5260dcb90001103ce96/_items/3/text/","Elas reduziram a segurança das transações bancárias"
"components/662cb5260dcb90001103ce96/_feedback/correct/","<p dir=""ltr"">Correto.</p>"
"components/662cb5260dcb90001103ce96/_feedback/_incorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb5260dcb90001103ce96/_feedback/_partlyCorrect/final/","<p dir=""ltr"">Incorreto.</p><p dir=""ltr"">Volte, reinicie e tente de novo.</p>"
"components/662cb58d5f555c001145e894/title/","Questão 6"
